OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
98,Michigan,Lac Vieux Desertband Of Lake Superior Chippewa Ind,Lac Vieux Desert Reservation,26,261527,Gogebic County
99,Michigan,Bay Mills Indian Community,Bay Mills Reservation,26,261524,Multiple Counties
100,Michigan,Sault Saint Marie Tribe Of The Chippewa Indians,Sault Sainte Marie Reservation,26,261531,Multiple Counties
101,Michigan,Little Traverse Band Of Ottawa Chippewa,Little Traverse Bay Reservation,26,261525,Multiple Counties
102,Michigan,Hannahville Indian Community,Hannahville Indian Community,26,261511,Multiple Counties
103,Michigan,Keweemaw Bay Indian Community,L'Anse Reservation,26,261526,Multiple Counties
104,Minnesota,Millie Lacs Band Of Chippewa Tribe,Mille Lacs Reservation,27,270945,Multiple Counties
105,Minnesota,Whte Earth Band Of Minnesota Chippewa Indian,White Earth Reservation,27,270940,Mahnomen County
106,Minnesota,Bois Forte Tribal Council,Bois Forte Reservation,27,270941,Multiple Counties
107,Minnesota,Leech Lake Band Of Chippewa Tribe,Leech Lake Reservation,27,270944,Multiple Counties
108,Minnesota,Grand Portage Band Of Chippewa Tribe,Grand Portage Reservation,27,270943,Cook County
109,Minnesota,Fond Du Lac Band Of Chippewa Tribe,Fond du Lac Reservation,27,270942,Multiple Counties
110,Montana,Fort Belknap Indian Reserve,Fort Belknap Reservation,30,300180,Phillips County/Blaine County
111,Montana,Fort Peck Indian Reservation,Fort Peck Indian Reservation,30,300187,Roosevelt County
112,North Dakota,"Three Affiliated Tribes, Fort Berthold Reservation",Fort Berthold Reservation,38,380721,Mountrail County/Mercer County/Mclean County/Mckenzie County/Dunn County
113,North Dakota,"Chippewa Indian Reservation, Turtle Mountain Band",Turtle Mountain Off-Reservation Trust Land,38,380714,Rolette County
114,North Dakota,Spirit Lake Tribe,Spirit Lake Reservation,38,380700,Benson County
115,North Dakota,Standing Rock Indian Reservation,Standing Rock Reservation_Sioux,38,380697,Sioux County
116,Oregon,"Umatilla Indian Reservation, Confederated Tribe Of",Umatilla Reservation,41,410012,Umatilla County
117,South Dakota,Standing Rock Indian Reservation,Standing Rock Reservation_Carson,46,461219,Corson County
118,Washington,Colville Confederated Tribes,Colville Reservation,53,535543,Ferry County/Okanogan County
119,Wisconsin,Lac Du Flambeau Band Lake Superior Chippewa Indian,Lac du Flambeau Reservation,55,550629,Multiple Counties
120,Wisconsin,Forest County Potawatomi Tribe,Forest County Potawatomi Community,55,550661,Multiple Counties
121,Wisconsin,Lac Courte Oreilles Indian Reservation,Lac Courte Oreilles Reservation,55,550625,Multiple Counties
122,Wisconsin,Red Cliff Band Of Lake Superior Chippewa,Red Cliff Reservation,55,550364,Bayfield County
123,Wisconsin,Sokaogon Chippewa Tribe Community,Sokaogon Chippewa Community,55,550632,Forest County
124,Wisconsin,Sokaogon Chippewa Tribe,Sokaogon Chippewa Off-Reservation Trust Land,55,550593,Forest County
125,Oregon,"Warm Spring Reservation, Tribe Of",Warm Springs Off-Reservation Trust Land,41,410291,Wasco County/Jefferson County
126,New Mexico,"Isleta, Pueblo Of",Isleta Pueblo,35,350057,Multiple Counties
127,New Mexico,"Sandia, Pueblo Of",Sandia Pueblo,35,350087,Multiple Counties
128,New Mexico,Jicarilla Apache Nation,Jicarilla Apache Nation Reservation,35,350059,Multiple Counties
129,New Mexico,"Jemez, Pueblo Of",Jemez Pueblo,35,350014,Sandoval County
130,New Mexico,"Santa Ana, Pueblo Of",Santa Ana Pueblo,35,350149,Sandoval County
131,Louisiana,Jena Band Of Choctaw Indians,Jena Band of Choctaw Reservation,22,220345,La Salle Parish
132,Texas,"Chelford M.U.D., City",Chelford City MUD,48,481568,Fort Bend County/Harris County
133,Texas,Fort Bend County M.U.D. #35,Fort Bend County MUD 35,48,481519,Fort Bend County
134,Texas,Fort Bend County M.U.D. #23,Fort Bend County MUD 23,48,481590,Fort Bend County
135,Texas,Fort Bend County M.U.D. #2,Fort Bend County MUD 2,48,481272,Fort Bend County
136,Texas,Pecan Grove M.U.D.,Pecan Grove MUD,48,481486,Fort Bend County
137,Texas,Kingsbridge M.U.D.,Kingsbridge MUD,48,481567,Harris County/Fort Bend County
138,Texas,Big Oaks M.U.D.,Big Oaks MUD,48,481596,Fort Bend County
139,Texas,Fort Bend County M.U.D. #30,Fort Bend County MUD 30,48,481601,Fort Bend County
140,Texas,Fort Bend County M.U.D. #25,Fort Bend County MUD 25,48,481570,Fort Bend County
141,Texas,West Keegans Bayou Improvement District,West Keegans Bayou Improvement District,48,481602,Harris County/Fort Bend County
142,Texas,Fort Bend County M.U.D. #81,Fort Bend County MUD 81,48,481600,Fort Bend Count
143,Texas,Willow Fork Drainage District,Willow Fork Drainage District,48,481603,Harris County/Fort Bend County
144,Texas,"Chateau Woods, City Of",Chateau Woods MUD,48,481537, 
145,Texas,Fort Bend County M.U.D. #42,Fort Bend County MUD 42,48,481605,Fort Bend County
146,Texas,Fort Bend County M.U.D. #34,Fort Bend County MUD 34,48,481520,Fort Bend County
147,Texas,Fort Bend County L.I.D. #7,Fort Bend County LID 7,48,481594,Fort Bend County
148,Texas,Fort Bend County M.U.D. #41,Fort Bend County MUD 41,48,481591,Fort Bend County
149,Texas,Mission Bend M.U.D. #1,Mission Bend MUD 1,48,481578,Fort Bend County/Harris County
150,Texas,First Colony L.I.D.,First Colony LID,48,481583,Fort Bend County
151,Texas,Fort Bend County L.I.D. #2,Fort Bend County LID 2,48,481485,Fort Bend County
152,Texas,Colorado County - Wcid#2,Colorado County WCID 2,48,481489,Colorado County
153,Texas,Fayette Co. W.C.& I.D.-Monument Hill,Fayette County WCID - Monument Hill,48,481565,Fayette County
154,Florida,Reedy Creek Improvement Dist.,Reedy Creek Improvement District,12,120577,Orange County
155,Florida,Cape Canaveral Port Authority,CAPE CANAVERAL PORT AUTHORITY,12,120619,Brevard County
156,Florida,Pensacola Beach-Santa Rosa Island Authority,PENSACOLA BEACH-SANTA ROSA ISLAND AUTHORITY,12,125138,Escambia County
157,Georgia,"Jekyll Island, State Park Authority","JEKYLL ISLAND, STATE PARK AUTHORITY",13,130201,Glynn County
158,New Jersey,New Jersey Meadowlands Commission,New Jersey Meadowlands Commission,34,340570,Bergen County
159,Maine,"T10 R08 Wels, Township Of",T10 R8 WELS,23,230786,Aroostook County
160,Maine,"T10 R10 Wels, Township Of",T10 R10 WELS,23,230686,Piscataquis County
161,Maine,"T09 R15 Wels, Township Of",T9 R15 WELS,23,230684,Piscataquis County
162,Maine,"T09 R10 Wels, Township Of",T9 R10 WELS,23,230679,Piscataquis County
163,Maine,"Cox Patent, Township Of",Cox Patent,23,230765,Aroostook County
164,Maine,"T08 R17 Wels, Township Of",T8 R17 WELS,23,230874,Somerset County
165,Maine,"T07 R18 Wels, Township Of",T7 R18 WELS,23,230762,Somerset County
166,Maine,"T07 R07 Wels, Township Of",T7 R7 WELS,23,230847,Penobscot County
167,Maine,"St. John T06 R16 Wels, Township Of",Saint John Twp,23,230743,Somerset County
