Country,BeverageTypes,year,alcohol_per_capita_in_litres
Australia,All types,2008,10.76
Australia,Beer,2008,4.69
Australia,Wine,2008,3.71
Australia,Spirits,2008,1.19
Austria,All types,2008,12
Austria,Beer,2008,6.4
Austria,Wine,2008,3.9
Austria,Spirits,2008,1.7
Belgium,All types,2008,10.47
Belgium,Beer,2008,5.04
Belgium,Wine,2008,3.83
Belgium,Spirits,2008,1.59
Brazil,All types,2008,7.21
Brazil,Beer,2008,3.84
Brazil,Wine,2008,0.37
Brazil,Spirits,2008,2.96
Canada,All types,2008,8.3
Canada,Beer,2008,4.2
Canada,Wine,2008,1.8
Canada,Spirits,2008,2.1
Chile,All types,2008,7.31
Chile,Beer,2008,2.43
Chile,Wine,2008,2.17
Chile,Spirits,2008,2.71
Denmark,All types,2008,10.7
Denmark,Beer,2008,4.51
Denmark,Wine,2008,4.47
Denmark,Spirits,2008,1.66
Germany,All types,2008,11.36
Germany,Beer,2008,6.14
Germany,Wine,2008,3.13
Germany,Spirits,2008,2.09
Ireland,All types,2008,12.66
Ireland,Beer,2008,6.31
Ireland,Wine,2008,2.8
Ireland,Spirits,2008,2.5
New Zealand,All types,2008,9.49
New Zealand,Beer,2008,4.03
New Zealand,Wine,2008,3.08
New Zealand,Spirits,2008,1.25
Switzerland,All types,2008,10.29
Switzerland,Beer,2008,3.31
Switzerland,Wine,2008,4.97
Switzerland,Spirits,2008,1.89
United Kingdom,All types,2008,11.47
United Kingdom,Beer,2008,4.22
United Kingdom,Wine,2008,4.13
United Kingdom,Spirits,2008,2.28
USA,All types,2008,8.74
USA,Beer,2008,4.54
USA,Wine,2008,1.44
USA,Spirits,2008,2.76
Australia,All types,2007,10.56
Australia,Beer,2007,4.63
Australia,Wine,2007,3.7
Australia,Spirits,2007,1.15
Austria,All types,2007,12.5
Austria,Beer,2007,6.4
Austria,Wine,2007,4.4
Austria,Spirits,2007,1.7
Belgium,All types,2007,10.25
Belgium,Beer,2007,5.21
Belgium,Wine,2007,4.27
Belgium,Spirits,2007,0.77
Brazil,All types,2007,7.19
Brazil,Beer,2007,3.74
Brazil,Wine,2007,0.38
Brazil,Spirits,2007,3.04
Canada,All types,2007,8.3
Canada,Beer,2007,4.2
Canada,Wine,2007,1.8
Canada,Spirits,2007,2.1
