cartodb_id,the_geom,id,state,state_abbr,name,trump,clinton
279,,08014,Colorado,CO,Broomfield,14272,19530
280,,08093,Colorado,CO,Park,6053,3351
281,,901301080,Connecticut,CT,Andover,891,896
282,,900901220,Connecticut,CT,Ansonia,3621,3532
283,,901501430,Connecticut,CT,Ashford,1042,1112
284,,900302060,Connecticut,CT,Avon,4382,5616
285,,900502760,Connecticut,CT,Barkhamsted,1157,905
286,,900903250,Connecticut,CT,Beacon Falls,2002,1146
287,,900304300,Connecticut,CT,Berlin,6210,4913
288,,900904580,Connecticut,CT,Bethany,1646,1580
289,,900104720,Connecticut,CT,Bethel,4492,4735
290,,900504930,Connecticut,CT,Bethlehem,1405,801
291,,900305910,Connecticut,CT,Bloomfield,1683,9637
292,,901306260,Connecticut,CT,Bolton,1436,1385
293,,901106820,Connecticut,CT,Bozrah,764,536
294,,900907310,Connecticut,CT,Branford,6585,8452
295,,900108070,Connecticut,CT,Bridgeport,6596,32035
296,,900508210,Connecticut,CT,Bridgewater,571,518
297,,900308490,Connecticut,CT,Bristol,12739,12476
298,,900108980,Connecticut,CT,Brookfield,1983,1576
299,,901509190,Connecticut,CT,Brooklyn,2052,1462
300,,900310100,Connecticut,CT,Burlington,2773,2352
301,,900510940,Connecticut,CT,Canaan,205,362
302,,901512130,Connecticut,CT,Canterbury,1609,932
303,,900312270,Connecticut,CT,Canton,2601,3100
304,,901513810,Connecticut,CT,Chaplin,624,432
305,,900914160,Connecticut,CT,Cheshire,6907,7212
306,,900714300,Connecticut,CT,Chester,781,1365
307,,900715350,Connecticut,CT,Clinton,3415,3493
308,,901115910,Connecticut,CT,Colchester,4332,4236
309,,900516050,Connecticut,CT,Colebrook,526,320
310,,901316400,Connecticut,CT,Columbia,1500,1558
311,,900517240,Connecticut,CT,Cornwall,248,622
312,,901317800,Connecticut,CT,Coventry,3057,3067
313,,900718080,Connecticut,CT,Cromwell,3486,3808
314,,900118500,Connecticut,CT,Danbury,11393,15668
315,,900118850,Connecticut,CT,Darien,4625,5942
316,,900719130,Connecticut,CT,Deep River,1077,1412
317,,900919550,Connecticut,CT,Derby,2651,2332
318,,900720810,Connecticut,CT,Durham,2138,1850
319,,901521860,Connecticut,CT,Eastford,513,367
320,,900322070,Connecticut,CT,East Granby,1369,1379
321,,900722280,Connecticut,CT,East Haddam,2487,2331
322,,900722490,Connecticut,CT,East Hampton,3648,3210
323,,900322630,Connecticut,CT,East Hartford,5220,13285
324,,900922910,Connecticut,CT,East Haven,6992,5491
325,,901123400,Connecticut,CT,East Lyme,4453,6005
326,,900123890,Connecticut,CT,Easton,2131,2203
327,,900324800,Connecticut,CT,East Windsor,2670,2510
328,,901325360,Connecticut,CT,Ellington,4199,3531
329,,900325990,Connecticut,CT,Enfield,9238,8548
330,,900726270,Connecticut,CT,Essex,1620,2291
331,,900126620,Connecticut,CT,Fairfield,12024,17859
332,,900327600,Connecticut,CT,Farmington,5977,7634
333,,901129910,Connecticut,CT,Franklin,613,413
334,,900331240,Connecticut,CT,Glastonbury,7531,11049
335,,900532290,Connecticut,CT,Goshen,1062,673
336,,900332640,Connecticut,CT,Granby,2967,3114
337,,900133620,Connecticut,CT,Greenwich,11096,16253
338,,901133900,Connecticut,CT,Griswold,3011,1934
339,,901134250,Connecticut,CT,Groton,5929,8439
340,,900934950,Connecticut,CT,Guilford,4929,7864
341,,900735230,Connecticut,CT,Haddam,2556,2141
342,,900935650,Connecticut,CT,Hamden,7790,18962
343,,901536000,Connecticut,CT,Hampton,509,484
344,,900337070,Connecticut,CT,Hartford,2276,27425
345,,900337140,Connecticut,CT,Hartland,804,349
346,,900537280,Connecticut,CT,Harwinton,2107,1131
347,,901337910,Connecticut,CT,Hebron,2555,2627
348,,900540290,Connecticut,CT,Kent,559,1062
349,,901540500,Connecticut,CT,Killingly,3916,2491
350,,900740710,Connecticut,CT,Killingworth,1943,1895
351,,901142390,Connecticut,CT,Lebanon,2115,1583
352,,901142600,Connecticut,CT,Ledyard,3581,3330
353,,901143230,Connecticut,CT,Lisbon,1175,868
354,,900543370,Connecticut,CT,Litchfield,2359,2067
355,,901144210,Connecticut,CT,Lyme,520,888
356,,900944560,Connecticut,CT,Madison,4500,5935
357,,900344700,Connecticut,CT,Manchester,8358,15132
358,,901344910,Connecticut,CT,Mansfield,2433,8309
359,,900345820,Connecticut,CT,Marlborough,1766,1687
360,,900946520,Connecticut,CT,Meriden,8661,12788
361,,900946940,Connecticut,CT,Middlebury,2630,1664
362,,900747080,Connecticut,CT,Middlefield,1361,1154
363,,900747360,Connecticut,CT,Middletown,7124,12957
364,,900947535,Connecticut,CT,Milford,13386,13596
365,,900148620,Connecticut,CT,Monroe,5922,4520
366,,901148900,Connecticut,CT,Montville,4156,3340
367,,900549460,Connecticut,CT,Morris,838,509
368,,900949950,Connecticut,CT,Naugatuck,7310,5219
369,,900350440,Connecticut,CT,New Britain,6046,15433
370,,900150580,Connecticut,CT,New Canaan,4541,5767
371,,900150860,Connecticut,CT,New Fairfield,4304,3072
372,,900551350,Connecticut,CT,New Hartford,2238,1642
373,,900952070,Connecticut,CT,New Haven,4483,34577
374,,900352140,Connecticut,CT,Newington,6547,8393
375,,901152350,Connecticut,CT,New London,1924,6305
376,,900552630,Connecticut,CT,New Milford,6863,6136
377,,900152980,Connecticut,CT,Newtown,7130,7395
378,,900553470,Connecticut,CT,Norfolk,373,518
379,,900953890,Connecticut,CT,North Branford,4473,2933
380,,900554030,Connecticut,CT,North Canaan,703,732
381,,900954870,Connecticut,CT,North Haven,7197,5735
382,,901155500,Connecticut,CT,North Stonington,1558,1282
383,,900156060,Connecticut,CT,Norwalk,12288,24229
384,,901156270,Connecticut,CT,Norwich,5217,7453
385,,901157040,Connecticut,CT,Old Lyme,1999,2498
386,,900757320,Connecticut,CT,Old Saybrook,2784,3207
387,,900957600,Connecticut,CT,Orange,4221,3834
