location,lat,long,score
"Waffle House-Clarksville,AR",35.454272,-93.464966,2
"Waffle House-Conway,AR",35.091538,-92.420182,3
"Waffle House-Conway,AR",35.111467,-92.438389,3
"Waffle House-Fayetteville,AR",36.054624,-94.191499,5
"Waffle House-Fayetteville,AR",36.066494,-94.167041,3
"Waffle House-Forrest City,AR",35.031812,-90.789696,6
"Waffle House-Fort Smith,AR",35.298328,-94.388955,3
"Waffle House-Hope,AR",33.679389,-93.603671,6
"Waffle House-Hot Springs,AR",34.49211,-93.058303,1
"Waffle House-Hot Springs,AR",34.445704,-93.089923,3
"Waffle House-Jacksonville,AR",34.867974,-92.128359,2
"Waffle House-Jonesboro,AR",35.809312,-90.670645,5
"Waffle House-Jonesboro,AR",35.804969,-90.697759,5
"Waffle House-Little Rock,AR",34.761908,-92.31012,4
"Waffle House-Little Rock,AR",34.75493,-92.393889,4
"Waffle House-Little Rock,AR",34.714789,-92.223888,2
"Waffle House-Little Rock,AR",34.715843,-92.343605,3
"Waffle House-Little Rock,AR",34.750176,-92.407189,3
"Waffle House-Little Rock,AR",34.676345,-92.343904,1
"Waffle House-Lonoke,AR",34.8062499,-91.8901829,2
"Waffle House-Malvern,AR",34.392576,-92.829006,7
"Waffle House-Morrilton,AR",35.148041,-92.72028,7
"Waffle House-North Little Rock,AR",34.884136,-92.383396,8
"Waffle House-North Little Rock,AR",34.797166,-92.23761,1
"Waffle House-North Little Rock,AR",34.776586,-92.20085,6
"Waffle House-North Little Rock,AR",34.7958469,-92.2709607,7
"Waffle House-North Little Rock,AR",34.822905,-92.377354,6
"Waffle House-Paragould,AR",36.0598185,-90.5187044,3
"Waffle House-Russellville,AR",35.30395,-93.137878,7
"Waffle House-Russellville,AR",35.281806,-93.095996,8
"Waffle House-Searcy,AR",35.25042,-91.69356,5
"Waffle House-Sherwood,AR",34.81491,-92.203092,5
"Waffle House-Siloam Springs,AR",36.181106,-94.515003,7
"Waffle House-Springdale,AR",36.174384,-94.183563,9
"Waffle House-Van Buren,AR",35.460657,-94.356527,8
"Waffle House-West Memphis,AR",35.157005,-90.155533,1
"Waffle House-Apache Junction,AZ",33.388736,-111.54448,8
"Waffle House-Goodyear,AZ",33.453362,-112.341165,1
"Waffle House-Guadalupe,AZ",33.378147,-111.967049,10
"Waffle House-Mesa,AZ",33.381594,-111.840087,7
"Waffle House-Mesa,AZ",33.451846,-111.721526,5
"Waffle House-Phoenix,AZ",33.461801,-112.186293,7
"Waffle House-Phoenix,AZ",33.640028,-112.112582,3
"Waffle House-Phoenix,AZ",33.683799,-112.116493,7
"Waffle House-Phoenix,AZ",33.41561,-112.008459,2
"Waffle House-Phoenix,AZ",33.305368,-111.979031,2
"Waffle House-Tempe,AZ",33.421894,-111.892308,2
"Waffle House-Tolleson,AZ",33.465305,-112.23859,6
"Waffle House-Tucson,AZ",32.250467,-110.994924,8
"Waffle House-Tucson,AZ",32.134224,-110.931731,8
"Waffle House-Tucson,AZ",32.163209,-110.915732,2
"Waffle House-Tucson,AZ",32.337516,-111.063325,6
"Waffle House-Tucson,AZ",32.206756,-110.981038,2
"Waffle House-Aurora,CO",39.696552,-104.839956,1
"Waffle House-Castle Rock,CO",39.380209,-104.865371,3
"Waffle House-Colorado Springs,CO",38.847956,-104.722291,8
"Waffle House-Colorado Springs,CO",38.892421,-104.753396,5
"Waffle House-Colorado Springs,CO",38.876376,-104.836641,7
"Waffle House-Fort Collins,CO",40.581546,-105.004716,6
"Waffle House-Littleton,CO",39.566133,-104.985993,5
"Waffle House-Longmont,CO",40.160665,-104.986111,2
"Waffle House-Parker,CO",39.527196,-104.765797,1
"Waffle House-Thornton,CO",39.849304,-104.979316,3
"Waffle House-Dover,DE",39.105143,-75.540983,5
